,0,1,2,3,4,5,6,7,8
132,0,0,0,0,1,0,0,0,0
133,0,1,0,0,0,0,0,1,1
134,1,0,1,0,1,0,1,1,0
135,0,1,0,1,0,1,1,0,1
136,0,1,0,1,0,1,0,1,0
137,0,0,1,1,1,1,0,1,0
138,0,0,1,0,0,1,0,1,0
139,0,0,1,0,0,0,1,0,1
140,0,0,1,0,1,1,0,1,1
141,0,1,0,1,0,0,0,0,0
142,1,1,0,0,1,1,0,1,1
143,0,1,0,1,1,0,1,1,1
144,1,1,1,1,0,1,0,1,1
145,1,0,0,0,0,1,0,0,0
146,1,0,1,0,0,0,1,0,1
147,0,1,1,0,1,1,1,1,0
148,0,0,0,1,0,0,0,1,1
149,1,0,0,1,1,1,0,1,1
150,0,1,0,0,1,1,1,0,0
151,0,0,1,0,1,1,0,1,0
152,1,1,1,1,1,1,1,0,1
153,0,0,1,0,0,0,0,1,1
154,1,0,1,1,1,1,0,1,0
155,1,0,1,0,0,1,0,1,0
156,0,1,0,1,1,1,0,0,0
157,0,0,0,0,0,0,1,1,0
158,1,1,1,0,1,0,0,1,0
159,0,0,1,1,1,0,0,1,1
160,1,0,0,1,0,0,0,0,0
161,1,1,1,1,1,1,0,1,1
162,0,0,1,0,1,0,1,1,1
163,0,1,1,0,0,0,0,0,0
164,1,1,1,0,0,1,1,0,1
165,1,0,1,0,0,1,1,1,1
166,0,0,0,0,0,0,1,0,0
167,0,0,1,1,1,0,1,0,0
168,1,1,1,1,0,1,1,0,0
169,1,1,1,0,0,1,1,1,1
170,0,0,0,0,0,1,0,1,0
171,0,1,0,0,0,0,0,0,1
172,0,0,1,1,0,0,1,1,0
173,1,1,0,1,0,1,0,1,0
174,0,1,0,1,0,1,1,1,1
175,1,0,0,0,0,0,0,0,0
176,1,0,0,0,0,1,1,1,1
177,1,1,0,0,0,0,1,1,0
178,0,0,0,0,0,1,1,0,1
179,0,0,1,1,0,0,0,1,0
180,0,0,0,0,1,0,0,0,1
181,1,1,0,1,1,1,0,1,0
182,1,1,0,1,1,0,1,0,1
183,0,0,0,1,0,0,0,0,0
184,1,1,1,1,0,0,0,1,1
185,0,0,0,1,0,0,0,1,0
186,0,0,0,0,0,0,0,1,1
187,0,1,0,1,1,1,1,1,1
188,1,1,1,0,0,0,0,0,0
189,1,1,0,0,1,0,1,1,0
190,1,1,1,1,0,1,1,1,1
191,0,1,0,1,0,0,1,1,1
192,0,1,1,1,0,0,0,0,1
193,1,0,1,1,1,1,0,0,1
194,0,1,1,0,0,0,1,1,1
195,1,1,0,1,0,1,1,1,1
196,0,1,1,0,0,0,1,1,0
197,0,1,0,1,0,0,1,0,0
198,0,1,0,0,1,0,0,0,1
199,0,1,0,1,0,1,1,0,0
200,1,0,1,0,1,1,1,1,0
201,0,0,0,0,0,1,1,0,0
202,0,0,1,1,1,0,1,1,0
203,1,0,1,1,0,1,0,1,1
204,1,1,0,0,1,0,0,1,1
205,1,1,1,0,0,0,0,1,0
206,1,0,1,0,0,0,1,0,1
207,0,1,0,0,1,1,0,1,1
208,0,0,1,1,0,1,1,0,0
209,0,0,1,1,0,1,0,0,1
210,0,1,0,0,0,1,1,1,0
211,0,1,1,1,1,1,1,1,1
212,0,0,0,0,1,1,0,0,0
213,0,0,0,1,0,0,1,1,1
214,0,0,0,0,1,1,0,0,1
215,1,1,1,0,1,0,0,1,0
216,0,0,1,0,1,0,0,0,0
217,0,0,1,0,1,1,0,1,0
218,1,1,1,1,0,1,0,1,1
219,1,0,1,0,0,0,0,1,1
220,0,1,0,0,1,0,0,0,0
221,0,0,1,0,0,0,0,0,1
222,1,1,0,0,1,1,0,0,0
223,0,1,0,1,1,1,0,0,0
224,0,1,0,0,0,1,0,0,1
225,0,1,0,0,0,0,0,0,0
226,0,0,1,1,0,0,0,0,1
227,0,0,0,1,1,0,0,0,1
228,0,0,0,1,1,0,1,0,1
229,0,1,1,1,0,1,1,1,0
230,1,1,0,0,1,0,0,1,1
231,0,1,1,0,1,1,0,1,0
232,1,1,1,1,0,0,1,1,1
233,0,0,1,0,1,0,1,1,0
234,0,1,1,1,1,1,1,1,0
235,1,1,1,1,1,0,1,0,1
236,0,0,1,1,1,1,0,0,0
237,0,0,1,0,1,1,0,1,0
238,1,1,1,0,1,1,1,0,0
239,1,1,0,0,1,1,0,0,0
240,0,0,0,1,0,1,1,0,1
241,1,1,1,0,1,1,1,1,0
242,0,1,1,1,1,0,1,0,0
243,0,1,1,0,1,0,1,1,1
244,1,0,0,1,0,0,0,0,1
245,1,1,1,0,0,0,0,1,1
246,1,0,1,1,0,1,0,0,1
247,0,0,1,1,1,0,0,1,0
248,1,0,1,1,1,1,0,1,1
249,0,1,0,0,1,0,0,1,1
250,1,0,1,0,0,0,1,0,1
251,1,1,1,0,0,0,0,1,1
252,0,1,0,0,0,1,1,1,1
253,1,0,0,1,0,1,0,1,1
254,0,0,0,0,0,1,0,1,1
255,1,1,0,0,1,1,0,1,1
256,1,0,0,0,1,1,0,1,1
257,1,0,1,1,0,0,0,1,0
258,1,1,0,1,0,1,0,1,0
259,1,0,0,0,0,1,0,1,0
260,1,0,0,0,1,0,1,0,1
261,0,1,0,1,1,0,0,0,1
262,0,1,1,1,1,0,1,0,0
263,0,1,0,0,1,0,1,1,1
264,0,0,0,0,1,1,0,1,1
265,0,1,0,1,1,1,1,0,1
266,0,0,1,0,1,0,1,0,0
267,0,0,1,1,0,0,0,0,1
268,0,1,0,0,1,0,0,0,1
269,1,0,1,1,0,1,0,1,1
270,1,1,1,1,0,0,1,0,1
271,1,1,1,0,0,0,1,1,0
272,0,1,0,1,1,1,1,1,1
273,1,1,0,1,1,1,0,0,1
274,1,0,1,1,1,0,0,0,0
275,1,0,1,0,1,0,1,1,0
276,1,0,0,0,1,0,1,0,0
277,1,1,1,0,0,1,0,1,1
278,1,1,1,1,0,0,1,1,1
279,0,1,1,0,1,0,1,0,0
280,0,1,0,0,0,1,1,0,0
281,1,1,1,1,0,0,0,1,0
282,1,0,0,0,0,1,0,0,1
283,1,0,0,0,1,1,1,1,1
284,1,0,1,0,0,0,0,0,1
285,1,0,0,1,1,0,0,0,0
286,1,0,0,1,1,1,0,1,0
287,1,0,1,1,1,0,0,0,0
288,1,0,0,1,0,1,1,0,0
289,0,0,0,1,0,0,0,0,1
290,0,0,1,0,0,1,1,0,0
291,1,0,1,0,1,0,1,1,0
292,1,0,0,1,1,1,0,1,1
293,1,0,0,1,0,1,0,0,1
294,1,1,0,0,0,0,1,0,0
295,1,0,0,1,1,0,0,1,0
296,1,1,1,1,1,1,0,0,1
297,0,1,0,1,1,0,0,0,1
298,1,0,0,1,1,1,1,1,0
299,0,1,1,1,1,1,0,1,0
300,0,1,0,0,0,0,1,1,1
301,1,1,1,1,1,0,1,0,0
302,1,0,1,0,1,0,1,0,0
303,0,0,1,0,1,1,1,0,1
304,1,0,1,1,0,1,0,0,0
305,0,1,1,0,1,1,1,0,0
306,1,0,1,1,0,0,1,1,1
307,0,1,0,0,1,1,1,0,0
308,1,0,0,1,1,0,0,0,1
309,1,0,1,0,0,1,0,1,0
310,1,1,0,0,0,0,0,0,0
311,1,0,1,1,0,1,0,0,0
312,0,0,1,0,0,0,0,1,0
313,1,1,1,1,0,1,0,0,0
314,0,1,0,0,1,1,0,1,1
315,1,1,0,1,1,0,0,0,1
316,0,0,1,1,0,0,1,0,0
317,0,0,1,1,1,1,0,0,1
318,1,1,0,1,0,1,1,0,0
319,0,1,0,0,0,0,0,0,0
320,1,1,0,0,0,1,0,1,1
321,0,1,1,0,0,1,0,0,1
322,1,1,0,0,1,1,1,0,0
323,1,0,1,1,1,0,0,1,0
324,0,0,1,1,0,1,1,0,0
325,1,0,0,1,0,1,1,1,0
326,1,0,1,1,1,0,1,0,0
327,0,1,1,0,1,0,0,0,0
328,1,1,1,0,1,0,1,0,0
329,1,1,1,1,1,1,1,1,0
330,1,0,1,1,0,1,1,1,1
331,1,1,0,1,0,1,1,1,0
332,0,0,0,1,1,1,1,0,0
333,1,0,0,0,1,0,0,1,1
334,1,1,1,1,1,1,0,1,0
335,1,0,1,1,0,0,1,0,1
336,0,0,1,0,0,1,0,1,0
337,1,1,1,1,1,0,1,1,0
338,1,0,1,1,1,0,0,0,0
339,0,1,1,0,1,0,1,1,0
340,1,0,0,1,0,1,0,0,1
341,0,0,0,1,0,1,0,1,0
342,1,0,1,0,1,0,0,1,0
343,1,0,0,0,1,1,1,1,0
344,1,0,0,0,0,1,0,1,1
345,1,1,0,0,0,1,1,1,0
346,1,0,0,1,1,0,1,1,0
347,0,1,1,1,1,0,1,0,1
348,1,1,0,1,0,0,1,1,0
349,1,1,1,0,1,1,1,0,0
350,1,1,1,0,1,1,1,0,0
351,0,0,1,0,1,1,1,0,1
352,1,1,1,1,0,1,1,0,1
353,0,0,0,1,1,0,1,0,0
354,0,1,1,1,1,0,0,1,0
355,1,1,0,0,1,1,1,1,1
356,0,1,1,1,1,1,0,1,1
357,0,0,1,0,0,1,1,0,1
358,0,0,1,1,0,0,0,0,0
359,1,1,0,0,0,0,0,1,0
360,1,0,1,1,1,0,0,0,1
361,0,0,1,0,1,0,0,1,1
362,0,0,0,0,0,1,0,1,1
363,0,1,0,1,0,0,1,1,0
364,0,1,0,0,0,1,1,1,1
365,1,0,1,0,1,0,1,1,1
366,0,1,0,0,1,0,0,1,0
367,1,0,1,1,1,0,1,0,1
368,1,1,1,0,0,1,1,0,0
369,1,0,1,1,0,0,1,0,0
370,1,0,0,0,1,0,0,1,0
371,0,1,1,1,0,0,1,0,0
372,0,1,0,1,0,0,1,1,0
373,0,0,0,0,0,1,1,0,0
374,1,1,0,0,0,1,1,1,0
375,0,0,1,0,0,1,0,1,0
376,1,1,0,1,1,0,0,1,0
377,1,0,1,1,1,1,0,0,1
378,0,1,1,1,1,0,1,0,0
379,0,1,1,1,1,0,0,0,1
380,0,0,0,1,1,0,1,1,0
381,1,1,1,1,1,0,1,0,1
382,0,1,0,1,1,1,1,0,0
383,1,0,1,1,1,1,0,1,1
384,0,1,1,0,0,1,1,0,0
385,0,1,1,1,1,1,1,1,1
386,0,0,0,0,1,0,0,1,0
387,1,0,1,0,1,1,1,1,0
388,1,1,1,0,1,1,1,1,1
389,0,1,1,1,0,1,1,0,1
390,1,1,1,0,1,1,1,0,1
391,0,0,1,1,1,1,1,0,0
392,0,0,1,0,1,0,0,1,1
393,0,1,1,0,0,0,1,1,1
394,1,1,0,1,0,1,1,1,0
395,0,0,0,0,0,0,1,0,1
396,1,1,0,1,0,1,0,0,1
397,1,0,0,0,0,1,1,1,0
398,0,0,1,0,0,0,1,0,0
399,1,1,0,1,0,1,0,1,0
400,0,1,1,1,1,0,0,0,1
401,0,0,1,0,0,0,1,0,1
402,0,0,1,1,1,1,0,0,1
403,1,0,1,1,0,0,0,0,1
404,1,0,1,0,0,0,1,0,0
405,0,0,1,0,1,0,0,0,1
406,0,0,1,1,0,1,1,0,1
407,1,1,1,0,1,1,0,1,0
408,0,1,0,1,0,0,0,1,1
409,1,0,0,0,0,0,1,1,1
410,1,1,0,0,0,1,1,1,0
411,1,1,1,1,1,1,0,0,1
412,0,1,0,1,0,1,0,1,1
413,0,0,0,1,1,1,0,0,0
414,0,0,1,0,0,0,1,1,0
415,1,1,1,0,1,0,0,0,0
416,0,0,0,1,1,1,1,1,0
417,1,0,1,0,0,0,1,1,0
418,1,0,0,0,0,0,1,0,0
419,1,0,0,0,0,0,1,1,0
420,0,0,0,1,0,0,1,1,1
